215.794   21.206  1656.240107 1617.445990
208.496   35.999  1662.434660 1629.040658
197.942   !57.426  !1674.592981 !1652.693891
191.168   71.194  1674.592981 1652.693891
181.396   91.058  1679.658055 1663.567439
175.134   103.771 1682.092876 1669.553797
!1661.16   !1220.41 !1684.396399 !1676.789065
160.344   133.691 1684.988158 1680.412911
146.722   160.985 1683.319758 1685.769026
134.176   185.755 1677.162790 1686.349126
122.622   208.164 1666.753435 1682.689175 
111.976   228.410 1652.257580 1675.327452
102.170   246.683 1633.824805 1664.746301
93.159    263.139 1611.584024 1651.350231
84.936    277.895 1585.633428 1635.581033
93.299    !296.983 !1596.244881 !1644.959133
!97.639    !306.615 
77.483    291.026 1555.930210 1617.419906
