100  1498  1552  1498.988  1553.790  60.81  95.88   1498.0073350873863  1551.987788033      2.3386918579927953e-16
110  1517  1573  1515.482  1571.362  67.28  105.67  1515.4823618428552  1571.3499733418892  2.73823278384048e-18
120  1533  1590  1531.672  1588.595  73.22  114.54  1531.6744541742921  1588.5947654216982  4.931427938564856e-18
130  1547  1605  1547.555  1605.489  78.96  123.35  1547.5630506792918  1605.4919243532627  1.2259064470328118e-17
140  1562  1622  1563.132  1622.045  84.50  132.10  1563.137149963117   1622.0498273442302  1.1986569463062071e-17
150  1577  1637  1578.404  1638.262  89.85  140.78  1578.4056261218645  1638.2550950108523  7.671169959961849e-17
160  1592  1655  1593.370  1654.139  95.01  149.40  1593.361527048357   1654.1366170104525  2.2345174223436785e-17
170  1609  1669  1608.030  1669.679  99.99  157.95  1608.0146254756085  1669.681629393337   5.549547491787903e-18
180  1624  1686  1622.385  1684.880  104.80 166.42  1622.3750817797602  1684.87838144592    1.2590394611517166e-18
190  1638  1699  1636.434  1699.742  109.44 174.81  1636.4336886900833  1699.7369962783816  4.5974722020344736e-17
200  1650  1714  1650.177  1714.265  113.91 183.12  1650.1815410199968  1714.2675836231192  3.2265540194545764e-17
210  1662  1728  1663.615  1728.450  118.21 191.33  1663.6021599594756  1728.4436194324842  1.792580727319405e-18
220  1677  1743  1676.747  1742.296  122.37 199.45  1676.7626388271658  1742.287856033749   4.1207969249825725e-17


